age;n
0;117164
1;119110
2;121083
3;124053
4;125528
5;129067
6;129720
7;132767
8;134154
9;136422
10;135497
11;136059
12;133365
13;132465
14;129217
15;127637
16;124730
17;124002
18;127025
19;130257
20;129678
21;131067
22;134104
23;136183
24;137144
25;139183
26;144978
27;150102
28;152496
29;152710
30;150747
31;150769
32;148229
33;148119
34;145505
35;146670
36;146844
37;150042
38;151750
39;153615
40;151177
41;149389
42;147543
43;145587
44;143176
45;147062
46;149976
47;154544
48;157320
49;158765
50;156729
51;156077
52;156102
53;159559
54;162425
55;166436
56;162658
57;158593
58;157454
59;154595
60;153630
61;148660
62;144335
63;140242
64;136872
65;132649
66;127917
67;125468
68;119064
69;118302
70;116064
71;115517
72;112504
73;110868
74;92046
75;89809
76;83232
77;71931
78;63487
79;68833
80;72043
81;70165
82;64543
83;59742
84;55155
85;52226
86;47488
87;44110
88;39426
89;34492
90;27438
91;22358
92;17896
93;14273
94;11104
95;8184
96;5789
97;3996
98;2748
99;1817
100;1794
