"","date","l_0_9","l_10_19","l_20_29","l_30_39","l_40_49","l_50_59","l_60_69","l_70_79","l_80_89","l_90+","label_date","l_0_19","l_20_39","l_40_59","l_60_79","l_80_","l_all_mean","l_0_19_rate","l_20_39_rate","l_40_59_rate","l_60_79_rate","l_80__rate","l_all_mean_rate","wknr"
"217",2020-10-12,150,961,0,0,0,0,0,0,154,49,"12/10",1111,0,0,0,203,131.4,43.2409795268946,0,0,0,30.9080417243338,14.8298042502457,"2020-W42"
"218",2020-10-13,180,1113,0,0,0,0,0,0,185,59,"13/10",1293,0,0,0,244,153.7,50.3245603314804,0,0,0,37.1505526144701,17.4950225891901,"2020-W42"
"219",2020-10-14,197,1219,0,0,0,0,0,0,217,76,"14/10",1416,0,0,0,293,170.9,55.1118154906236,0,0,0,44.611114409999,19.9445859801245,"2020-W42"
"220",2020-10-15,218,1320,0,0,0,0,0,0,251,86,"15/10",1538,0,0,0,337,187.5,59.8601498761152,0,0,0,51.3103943896575,22.2341088531545,"2020-W42"
"221",2020-10-16,241,1424,0,0,0,0,0,0,283,107,"16/10",1665,0,0,0,390,205.5,64.8030881298646,0,0,0,59.3799816378826,24.8366139535494,"2020-W42"
"222",2020-10-17,257,1494,0,0,0,0,0,0,299,114,"17/10",1751,0,0,0,413,216.4,68.1502746638997,0,0,0,62.8818779908859,26.2064305309571,"2020-W42"
"223",2020-10-18,266,1530,0,0,0,0,0,0,310,120,"18/10",1796,0,0,0,430,222.6,69.9017094782203,0,0,0,65.4702361648449,27.074389128613,"2020-W42"
"224",2020-10-19,288,1625,0,0,0,0,0,0,355,137,"19/10",1913,0,0,0,492,240.5,74.4554399954541,0,0,0,74.9101306816365,29.8731141354181,"2020-W43"
"225",2020-10-20,305,1717,0,0,0,0,0,0,400,161,"20/10",2022,0,0,0,561,258.3,78.6978043234752,0,0,0,85.4158197406465,32.8227248128243,"2020-W43"
"226",2020-10-21,317,1755,0,0,0,0,0,0,438,179,"21/10",2072,0,0,0,617,268.9,80.6438430060537,0,0,0,93.9421760783938,34.9172038168895,"2020-W43"
"227",2020-10-22,321,1770,0,0,0,0,0,0,477,209,"22/10",2091,0,0,0,686,277.7,81.3833377054336,0,0,0,104.447865137404,37.1662405685675,"2020-W43"
"228",2020-10-23,315,1762,0,0,0,0,0,0,542,227,"23/10",2077,0,0,0,769,284.6,80.8384468743116,0,0,0,117.085143280851,39.5847180310324,"2020-W43"
"229",2020-10-24,306,1753,0,0,0,0,0,0,586,251,"24/10",2059,0,0,0,837,289.6,80.1378729485833,0,0,0,127.438575976687,41.515289785054,"2020-W43"
"230",2020-10-25,301,1725,0,0,0,0,0,0,603,254,"25/10",2026,0,0,0,857,288.3,78.8534874180815,0,0,0,130.483703240168,41.8674381316498,"2020-W43"
"231",2020-10-26,283,1665,0,0,0,0,0,0,645,274,"26/10",1948,0,0,0,919,286.7,75.817667073259,0,0,0,139.923597756959,43.1482529660437,"2020-W44"
