CD_RGN_REFNIS;MONTH;YEAR;CD_AGE;MS_SEX_;CHAP_COD;COUNT
02000;1;2009;0-24;F;A00-B99;1
02000;1;2009;0-24;F;C00-D48;4
02000;1;2009;0-24;F;E00-E90;1
02000;1;2009;0-24;F;G00-G99;1
02000;1;2009;0-24;F;J00-J99;1
02000;1;2009;0-24;F;P00-P96;7
02000;1;2009;0-24;F;Q00-Q99;5
02000;1;2009;0-24;F;R00-R99;3
02000;1;2009;0-24;F;V01-Y98;3
02000;1;2009;0-24;M;A00-B99;1
02000;1;2009;0-24;M;E00-E90;1
02000;1;2009;0-24;M;G00-G99;2
02000;1;2009;0-24;M;J00-J99;3
02000;1;2009;0-24;M;P00-P96;3
02000;1;2009;0-24;M;Q00-Q99;4
02000;1;2009;0-24;M;R00-R99;3
02000;1;2009;0-24;M;UNK;1
02000;1;2009;0-24;M;V01-Y98;14
02000;1;2009;25-44;F;A00-B99;1
02000;1;2009;25-44;F;C00-D48;17
02000;1;2009;25-44;F;E00-E90;4
02000;1;2009;25-44;F;G00-G99;2
02000;1;2009;25-44;F;I00-I99;7
02000;1;2009;25-44;F;J00-J99;3
02000;1;2009;25-44;F;K00-K93;2
02000;1;2009;25-44;F;M00-M99;1
02000;1;2009;25-44;F;Q00-Q99;2
02000;1;2009;25-44;F;R00-R99;2
02000;1;2009;25-44;F;V01-Y98;9
02000;1;2009;25-44;M;A00-B99;2
02000;1;2009;25-44;M;C00-D48;9
02000;1;2009;25-44;M;E00-E90;1
02000;1;2009;25-44;M;F00-F99;2
02000;1;2009;25-44;M;G00-G99;2
02000;1;2009;25-44;M;I00-I99;18
02000;1;2009;25-44;M;J00-J99;2
02000;1;2009;25-44;M;K00-K93;3
02000;1;2009;25-44;M;P00-P96;2
02000;1;2009;25-44;M;R00-R99;7
02000;1;2009;25-44;M;UNK;2
02000;1;2009;25-44;M;V01-Y98;39
02000;1;2009;45-64;F;A00-B99;6
02000;1;2009;45-64;F;C00-D48;118
02000;1;2009;45-64;F;E00-E90;4
02000;1;2009;45-64;F;F00-F99;4
02000;1;2009;45-64;F;G00-G99;14
02000;1;2009;45-64;F;H60-H95;1
02000;1;2009;45-64;F;I00-I99;49
02000;1;2009;45-64;F;J00-J99;18
02000;1;2009;45-64;F;K00-K93;13
02000;1;2009;45-64;F;L00-L99;2
02000;1;2009;45-64;F;M00-M99;1
02000;1;2009;45-64;F;N00-N99;3
02000;1;2009;45-64;F;Q00-Q99;2
02000;1;2009;45-64;F;R00-R99;4
02000;1;2009;45-64;F;UNK;2
02000;1;2009;45-64;F;V01-Y98;21
02000;1;2009;45-64;M;A00-B99;5
02000;1;2009;45-64;M;C00-D48;182
02000;1;2009;45-64;M;E00-E90;6
02000;1;2009;45-64;M;F00-F99;5
02000;1;2009;45-64;M;G00-G99;8
02000;1;2009;45-64;M;I00-I99;150
02000;1;2009;45-64;M;J00-J99;29
02000;1;2009;45-64;M;K00-K93;29
02000;1;2009;45-64;M;M00-M99;3
02000;1;2009;45-64;M;N00-N99;3
02000;1;2009;45-64;M;Q00-Q99;3
02000;1;2009;45-64;M;R00-R99;16
02000;1;2009;45-64;M;UNK;4
02000;1;2009;45-64;M;V01-Y98;38
02000;1;2009;65-74;F;A00-B99;11
02000;1;2009;65-74;F;C00-D48;136
02000;1;2009;65-74;F;D50-D89;1
02000;1;2009;65-74;F;E00-E90;9
02000;1;2009;65-74;F;F00-F99;9
02000;1;2009;65-74;F;G00-G99;19
02000;1;2009;65-74;F;I00-I99;89
02000;1;2009;65-74;F;J00-J99;27
02000;1;2009;65-74;F;K00-K93;11
02000;1;2009;65-74;F;M00-M99;2
02000;1;2009;65-74;F;N00-N99;5
02000;1;2009;65-74;F;R00-R99;3
02000;1;2009;65-74;F;UNK;5
02000;1;2009;65-74;F;V01-Y98;13
02000;1;2009;65-74;M;A00-B99;10
02000;1;2009;65-74;M;C00-D48;224
02000;1;2009;65-74;M;E00-E90;8
02000;1;2009;65-74;M;F00-F99;8
02000;1;2009;65-74;M;G00-G99;15
02000;1;2009;65-74;M;I00-I99;151
02000;1;2009;65-74;M;J00-J99;68
02000;1;2009;65-74;M;K00-K93;21
02000;1;2009;65-74;M;N00-N99;5
02000;1;2009;65-74;M;Q00-Q99;1
02000;1;2009;65-74;M;R00-R99;12
02000;1;2009;65-74;M;UNK;5
02000;1;2009;65-74;M;V01-Y98;24
02000;1;2009;75-84;F;A00-B99;24
